state,action_date,naics_description,transaction_description,total_dollars_obligated,current_total_value_of_award,potential_total_value_of_award,object,program
CALIFORNIA,2021,FACILITIES SUPPORT SERVICES,DETENTION AND GUARD SERVICES,116.76,116.76,116.76,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2021,CORRECTIONAL INSTITUTIONS,FY20 TO FOR DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),52170273.18,52170273.18,52170273.18,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,FACILITIES SUPPORT SERVICES,HOUSTON DETENTION FACILITY,38224630.37,38224630.37,38224630.37,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER SERVICES,3254236.74,3254236.74,3254236.74,21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2021,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
TEXAS,2021,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),32325878.24,32325878.24,32325878.24,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,DETENTION AND TRANSPORTATION SERVICES,27177699.26,27177699.26,27177699.26,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,ADMINISTRATION OF HOUSING PROGRAMS,DETAINEE HOUSING COST FOR EMERGENCY SITUATION-INCLEMENT WEATHER,3213.3,3213.3,16066.5,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,NEW TASK ORDER PERIOD OF PERFORMANCE: 12/21/19 - 12/20/20 FUNDING POP: 12/21/19 - 01/31/20 COR: DANIEL POMPLUN FY 20 QTR 1 CR2 FUNDING,90522259.64,90522259.64,90522259.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,SECURITY GUARDS AND PATROL SERVICES,NEW TASK ORDER MESA VERDE TASK ORDER POP: 12/21/19 - 12/20/20 FUNDING POP  12/21/19 - 1/31/2020 COR:NATHAN LINDSEY  661-328-4503,30181264.14,30181264.14,30181264.14,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),8369250.52,8369250.52,8369250.52,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,FACILITIES SUPPORT SERVICES,SOUTH TEXAS DETENTION COMPLEX CONTRACT,52288888.48,52288888.48,52288888.48,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION SERVICES FOR LOS ANGELES AOR,0.0,,2283719987.22,,
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION SERVICES FOR SAN FRANCISCO AREA OF RESPONSIBILITY,0.0,,1582231743.77,,
,2020,FACILITIES SUPPORT SERVICES,STDC,0.0,,52409088.0,,
TEXAS,2020,FACILITIES SUPPORT SERVICES,HOUSTON DETENTION FACILITY,40268189.97,40268189.97,40268189.97,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,FACILITIES SUPPORT SERVICES,SOUTH TEXAS DETENTION COMPLEX CONTRACT,52288888.48,52288888.48,52288888.48,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),8026493.14,8026493.14,8026493.14,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT MESA VERDE,16564375.14,24288215.5,24288215.5,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),0.0,,34333800.0,,
,2020,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
COLORADO,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",22839318.62,22839318.62,22839318.62,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",0.0,,340207518.58,,
CALIFORNIA,2020,FACILITIES SUPPORT SERVICES,DETENTION SERVICES,47130726.86,47130726.86,47130726.86,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2020,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",63811970.64,63811970.64,63811970.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2020,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,5939314.04,5939314.04,5939314.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2020,FACILITIES SUPPORT SERVICES,HOUSTON DETENTION FACILITY,40268189.97,40268189.97,40268189.97,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2020,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,31975380.96,31975380.96,31975380.96,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
WASHINGTON,2018,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, TRANSPORTATION AND FOOD SERVICES",65718510.49,65718510.49,65718510.49,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
FLORIDA,2018,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF RIO GRANDE DETENTION CENTER,6490815.92,6490815.92,6490815.92,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::OT::IGF DETENTION SERVICES,26930813.15,26930813.15,26930813.15,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::OT::IGF DETENTION SERVICES,26930813.15,26930813.15,26930813.15,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,32304821.09,32304821.09,32304821.09,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2018,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
WASHINGTON,2018,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTAION SERVICES",64722320.27,64722320.27,64722320.27,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
COLORADO,2018,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA. IGF::CT::IGF",33696448.62,33696448.62,33696448.62,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,
,2018,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
COLORADO,2018,FACILITIES SUPPORT SERVICES,"DETENTION SERVICES FOR AURORA, CO CDF",1860206.43,1860206.43,1860206.43,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
COLORADO,2018,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA. IGF::CT::IGF",33696448.62,33696448.62,33696448.62,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,
GEORGIA,2018,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF  ROBERT A. DEYTON DETENTION FACILITY,3308537.04,3308537.04,3308537.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2018,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF RIO GRANDE DETENTION CENTER,6490815.92,6490815.92,6490815.92,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,31778989.58,31778989.58,31778989.58,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,8385093.65,8385093.65,8385093.65,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,8493328.65,8493328.65,8493328.65,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2018,FACILITIES SUPPORT SERVICES,PROCURE SUPPLIES/EQUIPMENT FOR MONTGOMERY PROCESSING CENTER IHSC MEDICAL AND DENTAL CLINICS,246775.59,246775.59,246775.59,31.0: Equipment,
FLORIDA,2018,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF RIO GRANDE DETENTION CENTER,6490815.92,6490815.92,6490815.92,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
COLORADO,2018,FACILITIES SUPPORT SERVICES,"DETENTION SERVICES FOR AURORA, CO CDF",6662006.43,6662006.43,6662006.43,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2018,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF RIO GRANDE DETENTION CENTER,6490815.92,6490815.92,6490815.92,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,10705293.65,10705293.65,10705293.65,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2018,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTAION SERVICES",64711727.62,64711727.62,64711727.62,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2018,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, TRANSPORTATION AND FOOD SERVICES",61003999.56,61003999.56,61003999.56,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,10712041.72,10712041.72,10712041.72,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::OT::IGF DETENTION SERVICES,31628743.81,31628743.81,31628743.81,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,
FLORIDA,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,29074598.3,29074598.3,29074598.3,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
GEORGIA,2019,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF  ROBERT A. DEYTON DETENTION FACILITY,3041162.0,3041162.0,3041162.0,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2019,FACILITIES SUPPORT SERVICES,IGF::OT::IGF DETENTION SERVICES,51785190.29,51785190.29,51785190.29,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,
TEXAS,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF,29469630.57,29469630.57,29469630.57,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
WASHINGTON,2019,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTAION SERVICES",64711727.62,64711727.62,64711727.62,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,38224630.37,38224630.37,38224630.37,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2019,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF RIO GRANDE DETENTION CENTER,6490815.92,6490815.92,6490815.92,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
TEXAS,2019,FACILITIES SUPPORT SERVICES,IGF::OT::IGF DETENTION SERVICES,51785190.29,51785190.29,51785190.29,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF,0.0,,52394400.0,,
COLORADO,2019,FACILITIES SUPPORT SERVICES,"DETENTION SERVICES FOR AURORA, CO CDF",48527230.04,48527230.04,48527230.04,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
GEORGIA,2019,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF  ROBERT A. DEYTON DETENTION FACILITY,3853162.0,3853162.0,3853162.0,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2019,FACILITIES SUPPORT SERVICES,"IGF::CL,CT::IGF DETENTION SERVICES MESA VERDE",12216615.24,19940455.6,19940455.6,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2019,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF RIO GRANDE DETENTION CENTER,5939314.04,5939314.04,5939314.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF,46254806.13,46254806.13,46254806.13,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF,0.0,,52394400.0,,
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF,0.0,,52394400.0,,
FLORIDA,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,10982149.27,10982149.27,10982149.27,,
,2019,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,204367945.85,,
,2019,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
WASHINGTON,2019,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",63811970.64,63811970.64,63811970.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
GEORGIA,2019,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF DETENTION SERVICES AT ROBERT A. DEYTON DETENTION FACILITY,988653.72,988653.72,988653.72,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES,37878569.3,37878569.3,37878569.3,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES,0.0,,62864912.19,,
COLORADO,2019,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP",30799575.31,30799575.31,30799575.31,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,
TEXAS,2019,FACILITIES SUPPORT SERVICES,HOUSTON DETENTION FACILITY,38224630.37,38224630.37,38224630.37,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2019,FACILITIES SUPPORT SERVICES,DETENTION SERVICES,0.0,,64364912.19,,
,2019,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2019,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
,2019,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
TEXAS,2019,FACILITIES SUPPORT SERVICES,HOUSTON DETENTION FACILITY,38224630.37,38224630.37,38224630.37,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
